2021-10-26 00:00:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27312 flow
2021-10-26 00:01:18 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27322 flow
2021-10-26 00:01:18 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27322 flow
2021-10-26 00:02:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27332 flow
2021-10-26 00:02:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27331 flow
2021-10-26 00:02:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27330 flow
2021-10-26 00:02:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27329 flow
2021-10-26 00:02:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27329 flow
2021-10-26 00:02:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27332 flow
2021-10-26 00:02:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27332 flow
2021-10-26 00:02:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27333 flow
2021-10-26 00:02:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27333 flow
2021-10-26 00:02:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27333 flow
2021-10-26 00:02:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27364 flow
2021-10-26 00:02:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27363 flow
2021-10-26 00:02:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27370 flow
2021-10-26 00:02:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27394 flow
2021-10-26 00:02:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27393 flow
2021-10-26 00:02:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27413 flow
2021-10-26 00:02:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27419 flow
2021-10-26 00:02:20 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27422 flow
2021-10-26 00:02:37 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27424 flow
2021-10-26 00:04:14 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27426 flow
2021-10-26 00:07:08 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27439 flow
2021-10-26 00:18:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27456 flow
2021-10-26 00:18:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27456 flow
2021-10-26 00:18:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27456 flow
2021-10-26 00:18:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27456 flow
2021-10-26 00:18:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27456 flow
2021-10-26 00:18:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27455 flow
2021-10-26 00:18:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27455 flow
2021-10-26 00:18:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27454 flow
2021-10-26 00:18:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 27453 flow
