2021-10-20 15:05:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9618 flow
2021-10-20 15:05:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9618 flow
2021-10-20 15:05:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9623 flow
2021-10-20 15:05:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9623 flow
2021-10-20 15:06:49 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9623 flow
2021-10-20 15:06:49 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9623 flow
2021-10-20 15:06:49 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9623 flow
2021-10-20 15:07:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9623 flow
2021-10-20 15:07:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9623 flow
2021-10-20 15:07:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9623 flow
2021-10-20 15:07:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9623 flow
2021-10-20 15:07:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9623 flow
2021-10-20 15:07:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9622 flow
2021-10-20 15:07:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9622 flow
2021-10-20 15:07:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9623 flow
2021-10-20 15:07:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9622 flow
2021-10-20 15:07:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9622 flow
2021-10-20 15:07:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9626 flow
2021-10-20 15:07:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9630 flow
2021-10-20 15:08:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9643 flow
2021-10-20 15:08:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9648 flow
2021-10-20 15:08:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9648 flow
2021-10-20 15:08:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9649 flow
2021-10-20 15:08:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9649 flow
2021-10-20 15:08:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9659 flow
2021-10-20 15:08:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9664 flow
2021-10-20 15:09:54 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9671 flow
2021-10-20 15:09:54 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9682 flow
2021-10-20 15:09:54 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9683 flow
2021-10-20 15:10:55 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9685 flow
2021-10-20 15:10:55 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9705 flow
2021-10-20 15:10:55 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9705 flow
2021-10-20 15:10:55 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9707 flow
2021-10-20 15:10:55 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9709 flow
2021-10-20 15:11:56 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9723 flow
2021-10-20 15:11:56 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9723 flow
2021-10-20 15:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9725 flow
2021-10-20 15:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9733 flow
2021-10-20 15:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9736 flow
2021-10-20 15:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9738 flow
2021-10-20 15:12:58 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9740 flow
2021-10-20 15:12:58 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9739 flow
2021-10-20 15:12:58 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9740 flow
2021-10-20 15:12:58 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9741 flow
2021-10-20 15:12:58 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9742 flow
2021-10-20 15:12:58 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9743 flow
2021-10-20 15:12:58 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9743 flow
2021-10-20 15:12:58 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9744 flow
2021-10-20 15:13:59 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9745 flow
2021-10-20 15:15:01 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9752 flow
2021-10-20 15:15:01 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9751 flow
2021-10-20 15:15:01 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9752 flow
2021-10-20 15:16:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9760 flow
2021-10-20 15:16:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9760 flow
