2022-01-03 00:17:59 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2695 flow
2022-01-03 00:21:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2696 flow
2022-01-03 00:28:11 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2697 flow
2022-01-03 00:28:14 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2698 flow
2022-01-03 00:28:14 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2699 flow
2022-01-03 00:30:15 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2700 flow
2022-01-03 00:30:24 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2701 flow
2022-01-03 00:30:24 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2702 flow
2022-01-03 00:30:24 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2703 flow
2022-01-03 00:30:24 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2704 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2710 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2710 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2709 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2708 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2710 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2733 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2734 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2737 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2736 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2736 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2736 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2736 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2736 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2735 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2735 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2735 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2735 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2734 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2733 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2732 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2731 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2730 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2731 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2738 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2737 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2736 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2735 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2734 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2733 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2732 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2731 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2730 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2729 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2728 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2727 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2726 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2725 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2724 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2723 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2722 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2721 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2720 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2726 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2725 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2724 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2723 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2722 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2721 flow
2022-01-03 00:31:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2720 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2721 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2722 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2722 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2721 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2720 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2721 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2723 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2724 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2723 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2722 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2721 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2720 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2719 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2719 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2718 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2747 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2753 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2753 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2758 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2757 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2756 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2755 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2759 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2766 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2767 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2766 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2765 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2764 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2765 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2766 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2765 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2764 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2763 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2762 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2761 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2761 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2760 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2759 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2758 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2757 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2756 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2755 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2754 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2753 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2752 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2751 flow
2022-01-03 00:31:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2750 flow
