2021-11-01 00:02:59 INFO  cic.cs.unb.ca.jnetpcap.worker.TrafficFlowWorker    Pcap is listening...
2021-11-01 00:03:39 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 122 flow
2021-11-01 00:03:41 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 182 flow
2021-11-01 00:03:43 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 224 flow
2021-11-01 00:03:43 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 224 flow
2021-11-01 00:04:25 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 301 flow
2021-11-01 00:04:25 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 302 flow
2021-11-01 00:04:25 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 307 flow
2021-11-01 00:04:25 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 307 flow
2021-11-01 00:04:25 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 309 flow
2021-11-01 00:04:25 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 308 flow
2021-11-01 00:04:25 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 307 flow
2021-11-01 00:04:25 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 306 flow
2021-11-01 00:04:25 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 305 flow
2021-11-01 00:04:25 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 304 flow
2021-11-01 00:04:25 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 305 flow
2021-11-01 00:04:25 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 306 flow
2021-11-01 00:04:25 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 307 flow
2021-11-01 00:04:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 309 flow
2021-11-01 00:04:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 310 flow
2021-11-01 00:04:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 310 flow
2021-11-01 00:04:30 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 320 flow
