Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.142-192.168.137.1-41498-53-17,192.168.137.142,41498,192.168.137.1,53,17,29/10/2021 11:28:21 PM,5004601,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,8.79190968470813,0.39963225839582417,5004601.0,0.0,5004601.0,5004601.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.19981612919791208,0.19981612919791208,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,5004601.0,0.0,5004601.0,5004601.0,No Label
192.168.137.142-192.168.137.1-37871-53-17,192.168.137.142,37871,192.168.137.1,53,17,29/10/2021 08:04:09 PM,3412,0,2,0.0,66.0,0,0,0,0,33.0,33.0,33.0,0.0,19343.493552168817,586.1664712778429,3412.0,0.0,3412.0,3412.0,0,0,0,0,0,3412.0,3412.0,0.0,3412.0,3412.0,0,0,0,0,0,16,0.0,586.1664712778429,33.0,33.0,33.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,49.5,0.0,33.0,0,0,0,0,0,0,0,0,2,66,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.142-192.168.137.1-57705-53-17,192.168.137.142,57705,192.168.137.1,53,17,29/10/2021 09:38:02 PM,9094422,3,3,120.0,212.0,40.0,40.0,40.0,0.0,92.0,40.0,70.66666666666667,27.227437142216182,36.505893392675205,0.6597450613134073,1818884.4,2509944.0317390147,5001980.0,25.0,5002005.0,2501002.5,3536916.2996899574,5001980.0,25.0,9094422.0,4547211.0,6426151.072084284,9091186.0,3236.0,0,0,0,0,24,24,0.32987253065670363,0.32987253065670363,40.0,92.0,53.14285714285714,22.711440372850063,515.8095238095239,0,0,0,0,0,0,0,0,1.0,62.0,40.0,70.66666666666667,0,0,0,0,0,0,3,120,3,212,-1,-1,3,0,29.0,0.0,29.0,29.0,5001980.0,0.0,5001980.0,5001980.0,No Label
192.168.137.142-192.168.137.1-55146-53-17,192.168.137.142,55146,192.168.137.1,53,17,29/10/2021 02:48:37 PM,2795,1,3,42.0,126.0,42.0,42.0,42.0,0.0,42.0,42.0,42.0,0.0,60107.33452593917,1431.1270125223614,931.6666666666666,998.2065584503707,2016.0,51.0,0,0,0,0,0,2795.0,1397.5,946.8159800087872,2067.0,728.0,0,0,0,0,8,24,357.78175313059035,1073.345259391771,42.0,42.0,42.0,0.0,0.0,0,0,0,0,0,0,0,0,3.0,52.5,42.0,42.0,0,0,0,0,0,0,1,42,3,126,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.137.142-192.168.137.1-55338-53-17,192.168.137.142,55338,192.168.137.1,53,17,29/10/2021 08:43:19 PM,6070686,3,3,135.0,179.0,45.0,45.0,45.0,0.0,73.0,45.0,59.666666666666664,14.047538337136986,51.723973205005166,0.9883561758918185,1214137.2,2166323.336331791,5003629.0,64.0,5003693.0,2501846.5,3538054.741607668,5003629.0,64.0,6070686.0,3035343.0,4271011.2253940515,6055404.0,15282.0,0,0,0,0,24,24,0.49417808794590923,0.49417808794590923,45.0,73.0,51.285714285714285,11.279986491042232,127.23809523809526,0,0,0,0,0,0,0,0,1.0,59.833333333333336,45.0,59.666666666666664,0,0,0,0,0,0,3,135,3,179,-1,-1,3,0,76.0,0.0,76.0,76.0,5003629.0,0.0,5003629.0,5003629.0,No Label
192.168.137.142-192.168.137.1-47511-53-17,192.168.137.142,47511,192.168.137.1,53,17,29/10/2021 03:16:17 PM,29087,0,2,0.0,122.0,0,0,0,0,87.0,35.0,61.0,36.76955262170047,4194.313610891464,68.75923952281089,29087.0,0.0,29087.0,29087.0,0,0,0,0,0,29087.0,29087.0,0.0,29087.0,29087.0,0,0,0,0,0,16,0.0,68.75923952281089,35.0,87.0,52.33333333333333,30.02221399786054,901.3333333333333,0,0,0,0,0,0,0,0,0.0,78.5,0.0,61.0,0,0,0,0,0,0,0,0,2,122,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.142-192.168.137.1-50600-53-17,192.168.137.142,50600,192.168.137.1,53,17,29/10/2021 02:32:53 PM,106772,1,3,42.0,360.0,42.0,42.0,42.0,0.0,165.0,42.0,120.0,67.8159273327439,3765.0320308695163,37.463005282283746,35590.66666666667,61619.72866163347,106743.0,7.0,0,0,0,0,0,106772.0,53386.0,75489.30574591344,106765.0,7.0,0,0,0,0,8,24,9.365751320570936,28.097253961712806,42.0,165.0,88.8,64.22382735402803,4124.7,0,0,0,0,0,0,0,0,3.0,111.0,42.0,120.0,0,0,0,0,0,0,1,42,3,360,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.137.142-192.168.137.1-52519-53-17,192.168.137.142,52519,192.168.137.1,53,17,29/10/2021 09:30:55 PM,9231883,0,6,0.0,507.0,0,0,0,0,97.0,22.0,84.5,30.618621784789728,54.918373640567154,0.6499215815451734,1846376.6,1614288.6033870461,3057513.0,56969.0,0,0,0,0,0,9231883.0,1846376.6,1614288.6033870461,3057513.0,56969.0,0,0,0,0,0,48,0.0,0.6499215815451734,22.0,97.0,75.57142857142857,36.59625273557,1339.2857142857144,0,0,0,0,0,0,0,0,0.0,88.16666666666667,0.0,84.5,0,0,0,0,0,0,0,0,6,507,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.142-224.0.0.251-5353-5353-17,192.168.137.142,5353,224.0.0.251,5353,17,29/10/2021 11:54:30 PM,46586567,11,1,440.0,40.0,40.0,40.0,40.0,0.0,40.0,40.0,40.0,0.0,10.30339926099298,0.2575849815248245,4235142.454545455,1.2081317646066869E7,4.0581652E7,46.0,4.6586436E7,4658643.6,1.2648467216884961E7,4.0581652E7,46.0,0,0,0,0,0,0,0,0,0,88,8,0.2361195663977558,0.021465415127068708,40.0,40.0,40.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,43.333333333333336,40.0,40.0,0,0,0,0,0,0,11,440,1,40,-1,-1,11,0,3002435.0,0.0,3002435.0,3002435.0,4.0581652E7,0.0,4.0581652E7,4.0581652E7,No Label
192.168.137.142-224.0.0.22-0-0-0,192.168.137.142,0,224.0.0.22,0,0,29/10/2021 11:54:30 PM,43939995,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09103323748671341,1.4646665E7,2.4224077298572365E7,4.2615988E7,355982.0,4.297197E7,2.1485985E7,2.9882336815584186E7,4.2615988E7,355982.0,0,0,0,0,0,0,0,0,0,0,0,0.06827492811503505,0.022758309371678352,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,968025.0,0.0,968025.0,968025.0,4.2615988E7,0.0,4.2615988E7,4.2615988E7,No Label
