Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.14-52.218.29.160-59536-443-6,192.168.1.14,59536,52.218.29.160,443,6,04/03/2022 11:59:57 PM,16267356,2,4,0.0,601.0,0.0,0.0,0.0,0.0,338.0,0.0,150.25,172.75102508137735,36.945155684795985,0.3688368287999599,3253471.2,3519382.8031078405,7978897.0,5.0,7978919.0,7978919.0,0.0,7978919.0,7978919.0,1.6267356E7,5422452.0,2670296.4491192736,7978902.0,2651275.0,0,0,0,0,64,80,0.12294560959998663,0.24589121919997325,0.0,338.0,85.85714285714286,146.18986350112033,21371.47619047619,1,0,0,0,1,0,0,0,2.0,100.16666666666667,0.0,150.25,0,0,0,0,0,0,2,0,4,601,-1,119,0,0,2651280.0,0.0,2651280.0,2651280.0,7978897.0,0.0,7978897.0,7978897.0,No Label
192.168.1.14-216.58.208.238-35308-443-6,192.168.1.14,35308,216.58.208.238,443,6,04/03/2022 11:58:35 PM,90795070,36,51,10019.0,3043.0,1188.0,0.0,278.3055555555556,419.2384810203544,1188.0,0.0,59.66666666666666,175.09445070209014,143.86243658383654,0.9582018054504502,1055756.627906977,4133490.58506184,2.7146975E7,8.0,9.0321405E7,2580611.571428572,6371711.505030069,2.757591E7,37.0,9.079507E7,1815901.4,5377463.636554191,2.7324126E7,8.0,0,0,0,0,1188,1656,0.39649729880708284,0.5617045066433674,0.0,1188.0,161.93181818181822,334.90879854638433,112163.90334378264,0,0,0,0,1,0,0,0,1.0,163.79310344827587,278.30555555555554,59.666666666666664,0,0,0,0,0,0,36,10019,51,3043,-1,2527,25,0,1426660.2,1391919.0447492625,3884331.0,603234.0,1.61687748E7,7591733.979833869,2.7146975E7,7367503.0,No Label
192.168.1.14-78.46.184.63-36738-443-6,192.168.1.14,36738,78.46.184.63,443,6,04/03/2022 11:58:48 PM,111738082,6,3,123.0,138.0,46.0,0.0,20.5,23.11493023999856,46.0,46.0,46.0,0.0,2.335819582083036,0.0805455028304495,1.3967260250000002E7,2.5812254078024358E7,5.8833856E7,37.0,1.11570516E8,2.23141032E7,3.0557151512114063E7,5.8833856E7,82.0,5.9171901E7,2.95859505E7,4.160393066890825E7,5.9004372E7,167529.0,0,1,0,0,192,96,0.05369700188696634,0.02684850094348317,0.0,46.0,30.700000000000003,21.684864152983142,470.2333333333333,0,0,0,1,1,0,0,0,0.0,34.111111111111114,20.5,46.0,0,0,0,0,0,0,6,123,3,138,-1,501,3,0,169041.5,2086.6721112815017,170517.0,167566.0,5.5699538E7,4432595.0243901145,5.8833856E7,5.256522E7,No Label
192.168.1.14-78.46.184.63-36738-443-6,78.46.184.63,443,192.168.1.14,36738,6,05/03/2022 12:00:40 AM,13919,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.68848336805803,13919.0,0.0,13919.0,13919.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,71.84424168402902,71.84424168402902,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.14-108.177.15.189-37226-443-6,192.168.1.14,37226,108.177.15.189,443,6,04/03/2022 11:58:22 PM,113645210,12,10,530.0,738.0,452.0,0.0,44.166666666666664,129.31204917023803,356.0,0.0,73.80000000000001,100.54164421881224,11.157531408494911,0.1935849298003849,5411676.666666666,1.1141950074104166E7,2.9685862E7,5.0,1.13645177E8,1.0331379727272728E7,1.3870333923515936E7,2.9685876E7,12.0,1.13645166E8,1.2627240666666666E7,1.4418664575417066E7,2.9685899E7,15.0,0,1,0,0,384,332,0.10559177989111904,0.08799314990926586,0.0,452.0,57.391304347826086,112.76191294873328,12715.249011857704,0,0,0,1,1,0,0,0,0.0,60.0,44.166666666666664,73.8,0,0,0,0,0,0,12,530,10,738,-1,420,3,0,635330.5,1270605.0000396138,2541238.0,14.0,2.7775961E7,1798473.484756262,2.9685862E7,2.5363593E7,No Label
192.168.1.14-8.8.8.8-34925-53-17,192.168.1.14,34925,8.8.8.8,53,17,04/03/2022 10:33:04 PM,200805,0,2,0.0,119.0,0,0,0,0,97.0,22.0,59.5,53.033008588991066,592.6147257289409,9.959911356788924,200805.0,0.0,200805.0,200805.0,0,0,0,0,0,200805.0,200805.0,0.0,200805.0,200805.0,0,0,0,0,0,16,0.0,9.959911356788924,22.0,97.0,47.0,43.30127018922193,1875.0,0,0,0,0,0,0,0,0,0.0,70.5,0.0,59.5,0,0,0,0,0,0,0,0,2,119,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
142.250.181.46-192.168.1.14-443-42044-6,192.168.1.14,42044,142.250.181.46,443,6,04/03/2022 11:58:01 PM,118442366,24,23,4351.0,1991.0,1188.0,0.0,181.29166666666669,351.8495823831377,762.0,0.0,86.56521739130436,212.4101577110055,53.54502965602696,0.3968174698570273,2574834.0434782607,1.2061725670024423E7,5.8750444E7,1.0,1.18274377E8,5142364.217391304,1.6871441412258126E7,5.8908641E7,6.0,1.18442327E8,5383742.136363636,1.72577218903193E7,5.8938239E7,1.0,0,0,0,0,780,764,0.2026301973738012,0.19418727248322615,0.0,1188.0,132.12500000000003,290.3837977573818,84322.75,0,1,0,0,0,0,0,0,0.0,134.93617021276594,181.29166666666666,86.56521739130434,0,0,0,0,0,0,24,4351,23,1991,-1,308,13,0,613710.5,601581.7006961731,1039093.0,188328.0,5.8529509E7,312449.27340289974,5.8750444E7,5.8308574E7,No Label
142.250.181.46-192.168.1.14-443-42044-6,192.168.1.14,42044,142.250.181.46,443,6,05/03/2022 12:00:52 AM,619,1,1,24.0,39.0,24.0,24.0,24.0,0.0,39.0,39.0,39.0,0.0,101777.05977382876,3231.0177705977385,619.0,0.0,619.0,619.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,1615.5088852988692,1615.5088852988692,24.0,39.0,34.0,8.660254037844387,75.0,0,0,0,1,1,0,0,0,1.0,51.0,24.0,39.0,0,0,0,0,0,0,1,24,1,39,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.255-192.168.1.9-137-137-17,192.168.1.9,137,192.168.1.255,137,17,04/03/2022 11:58:24 PM,101556804,11,1,550.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,5.908023651472924,0.11816047302945847,9232436.727272727,1.3689368084076323E7,3.4363331E7,715885.0,6.7193473E7,6719347.3,1.1446833398958363E7,3.0477307E7,715885.0,0,0,0,0,0,0,0,0,0,88,8,0.10831376694367026,0.009846706085788207,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.166666666666664,50.0,50.0,0,0,0,0,0,0,11,550,1,50,-1,-1,11,0,1534275.0,123.03657992645927,1534362.0,1534188.0,3.0272638333333332E7,4196771.660462996,3.4363331E7,2.5977277E7,No Label
142.250.181.106-192.168.1.14-443-57236-6,192.168.1.14,57236,142.250.181.106,443,6,04/03/2022 11:58:57 PM,102440531,18,18,1361.0,1112.0,767.0,0.0,75.61111111111111,210.69636332015764,124.0,0.0,61.77777777777777,49.38749014686346,24.140835427727332,0.3514234029107093,2926872.3142857146,7108930.334359832,2.0601108E7,13.0,1.02440492E8,6025911.294117647,9358375.04951576,2.0601157E7,125.0,1.02440482E8,6025910.705882353,9357860.348617665,2.0601164E7,149.0,0,1,0,0,612,576,0.17571170145535464,0.17571170145535464,0.0,767.0,67.67567567567566,149.00131506765936,22201.391891891893,0,0,0,1,1,0,0,0,1.0,69.55555555555556,75.61111111111111,61.77777777777778,0,0,0,0,0,0,18,1361,18,1112,-1,986,4,0,409201.8,575122.3627291848,1206651.0,36.0,2.00788946E7,640021.3629702523,2.0601108E7,1.9023069E7,No Label
