Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.6-52.38.31.225-34504-443-6,52.38.31.225,443,192.168.1.6,34504,6,01/02/2022 11:54:21 PM,511741,1,2,0.0,66.0,0.0,0.0,0.0,0.0,35.0,31.0,33.0,2.8284271247461903,128.97149143805166,5.86234051991144,255870.5,361459.55151372054,511461.0,280.0,0,0,0,0,0,280.0,280.0,0.0,280.0,280.0,0,1,0,0,32,64,1.9541135066371464,3.908227013274293,0.0,35.0,24.25,16.276260831857748,264.9166666666667,0,0,0,1,1,0,0,0,2.0,32.333333333333336,0.0,33.0,0,0,0,0,0,0,1,0,2,66,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.1-224.0.0.1-0-0-0,192.168.1.1,0,224.0.0.1,0,0,01/02/2022 11:56:29 PM,119965789,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02500712932417758,5.99828945E7,72166.61098111785,6.0033924E7,5.9931865E7,6.0033924E7,6.0033924E7,0.0,6.0033924E7,6.0033924E7,0,0,0,0,0,0,0,0,0,0,0,0.01667141954945172,0.00833570977472586,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,5.99828945E7,72166.61098111785,6.0033924E7,5.9931865E7,No Label
142.250.180.46-192.168.1.6-443-42178-6,192.168.1.6,42178,142.250.180.46,443,6,01/02/2022 11:56:59 PM,96136849,11,12,2443.0,643.0,1188.0,0.0,222.09090909090907,403.0916656408204,394.0,0.0,53.583333333333336,110.40788701515628,32.10007434298164,0.23924229095546912,4369856.772727272,1.4334350231941642E7,5.8719161E7,8.0,9.603476E7,9603476.0,2.060815925243539E7,5.8798746E7,9.0,9.613682E7,8739710.909090908,1.9869090737243876E7,5.9087313E7,8.0,0,1,0,0,352,396,0.11442022610913741,0.12482206484633171,0.0,1188.0,130.20833333333334,289.71950140222464,83937.38949275363,0,0,0,1,1,0,0,0,1.0,135.8695652173913,222.0909090909091,53.583333333333336,0,0,0,0,0,0,11,2443,12,643,-1,1409,6,0,210310.5,153048.3130403599,318532.0,102089.0,4.7292766E7,1.6159362778032122E7,5.8719161E7,3.5866371E7,No Label
192.168.1.6-34.107.254.252-46402-443-6,192.168.1.6,46402,34.107.254.252,443,6,01/02/2022 11:56:50 PM,115804355,18,18,2698.0,1737.0,1188.0,0.0,149.8888888888889,308.06357038555024,580.0,0.0,96.5,165.31832039681365,38.29735073434846,0.3108691378661882,3308695.8571428563,1.3530467582328957E7,5.8450124E7,4.0,1.15726282E8,6807428.352941177,1.910402250587424E7,5.8552022E7,4.0,1.15804302E8,6812017.764705882,1.909667680271024E7,5.8513534E7,16.0,0,0,0,0,576,592,0.1554345689330941,0.1554345689330941,0.0,1188.0,119.86486486486487,242.57795564429293,58844.06456456455,0,1,0,0,0,0,0,0,1.0,123.19444444444444,149.88888888888889,96.5,0,0,0,0,0,0,18,2698,18,1737,-1,292,9,0,381278.0,68505.91917491509,429719.0,332837.0,5.74702875E7,1385698.067208185,5.8450124E7,5.6490451E7,No Label
192.168.1.6-102.132.96.35-41992-443-6,192.168.1.6,41992,102.132.96.35,443,6,01/02/2022 11:57:13 PM,93487746,9,8,1548.0,1027.0,1029.0,0.0,172.0,338.2192336340439,694.0,0.0,128.375,235.53703833701277,27.54371679899096,0.1818420138185811,5842984.125000001,1.6527038258998465E7,5.895661E7,24.0,9.3442259E7,1.1680282374999998E7,2.2526066094412122E7,5.895661E7,47.0,9.3487722E7,1.3355388857142858E7,2.3816357200926695E7,5.9000814E7,161.0,0,1,0,0,288,256,0.09626930143336647,0.08557271238521463,0.0,1029.0,145.2222222222222,279.02025133239835,77852.30065359475,0,0,0,1,1,0,0,0,0.0,153.76470588235293,172.0,128.375,0,0,0,0,0,0,9,1548,8,1027,-1,1478,4,0,44853.0,896.6113985445422,45487.0,44219.0,4.65623675E7,1.7528105838841017E7,5.895661E7,3.4168125E7,No Label
192.168.1.6-196.188.31.81-50668-443-6,192.168.1.6,50668,196.188.31.81,443,6,01/02/2022 11:57:13 PM,93309579,17,14,758.0,4387.0,240.0,0.0,44.588235294117645,93.55617217982561,1188.0,35.0,313.35714285714283,471.3720737041301,55.139033474794694,0.3322274125789379,3110319.3,1.2259935666638128E7,5.8977732E7,1.0,9.3285283E7,5830330.1875,1.65433020815669E7,5.8977732E7,6.0,9.3309572E7,7177659.384615385,1.822061019517652E7,5.9001922E7,1.0,0,1,0,0,568,448,0.18218922625296594,0.15003818632597196,0.0,1188.0,162.0,340.71764869027885,116088.51612903227,0,0,0,1,1,0,0,0,0.0,167.2258064516129,44.588235294117645,313.35714285714283,0,0,0,0,0,0,17,758,14,4387,-1,123,4,0,24265.0,43.840620433565945,24296.0,24234.0,4.65967745E7,1.750931801166489E7,5.8977732E7,3.4215817E7,No Label
192.168.1.6-102.132.96.18-56056-443-6,192.168.1.6,56056,102.132.96.18,443,6,01/02/2022 11:58:23 PM,111854293,22,24,410.0,656.0,41.0,0.0,18.636363636363633,20.895534848942646,208.0,0.0,27.33333333333334,42.770028785574134,9.530255579908767,0.4112493026977516,2485650.9555555554,4403560.778507666,1.1556347E7,20.0,1.1128173E8,5299130.0,5204451.834457986,1.1556347E7,286075.0,1.11854265E8,4863228.9130434785,5220843.839771793,1.161523E7,57942.0,0,1,0,0,704,768,0.196684449116316,0.21456485358143562,0.0,208.0,23.5531914893617,33.75796750439445,1139.6003700277515,0,0,0,1,1,0,0,0,1.0,24.065217391304348,18.636363636363637,27.333333333333332,0,0,0,0,0,0,22,410,24,656,-1,399,10,0,538340.0,270618.50624572346,1195967.0,307285.0,1.06184818E7,376916.9996923283,1.1556347E7,1.0186485E7,No Label
142.250.180.46-192.168.1.6-443-42178-6,192.168.1.6,42178,142.250.180.46,443,6,01/02/2022 11:59:34 PM,51774943,3,3,63.0,78.0,39.0,0.0,21.0,19.672315572906,39.0,0.0,26.0,22.516660498395403,2.7233250647905107,0.11588617296980896,1.03549886E7,2.311872769972811E7,5.1710998E7,38.0,5.1711726E7,2.5855863E7,3.656468257398729E7,5.1710998E7,728.0,63179.0,31589.5,43770.616862228475,62540.0,639.0,0,1,0,0,96,96,0.05794308648490448,0.05794308648490448,0.0,39.0,25.714285714285715,18.400310556385413,338.5714285714285,0,0,0,1,1,0,0,0,1.0,30.0,21.0,26.0,0,0,0,0,0,0,3,63,3,78,-1,1409,2,0,63217.0,0.0,63217.0,63217.0,5.1710998E7,0.0,5.1710998E7,5.1710998E7,No Label
142.250.180.46-192.168.1.6-443-42178-6,142.250.180.46,443,192.168.1.6,42178,6,02/02/2022 12:00:26 AM,68,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29411.764705882353,68.0,0.0,68.0,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,14705.882352941177,14705.882352941177,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1409,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.6-102.132.96.13-36760-443-6,192.168.1.6,36760,102.132.96.13,443,6,01/02/2022 11:58:28 PM,118610181,35,34,1585.0,700.0,567.0,0.0,45.285714285714285,111.28436585627655,52.0,0.0,20.58823529411765,20.390309116890627,19.264788070764347,0.581737582880849,1744267.3676470583,3806851.817790849,1.1832034E7,10.0,1.18330385E8,3480305.4411764704,4831250.905985085,1.1889911E7,64.0,1.18610131E8,3594246.3939393945,4958741.636926683,1.1891884E7,20.0,0,1,0,0,1120,1088,0.29508428117144514,0.28665330170940384,0.0,567.0,33.18571428571429,80.33684390497821,6454.008488612835,0,0,0,1,1,0,0,0,0.0,33.666666666666664,45.285714285714285,20.58823529411765,0,0,0,0,0,0,35,1585,34,700,-1,1191,18,0,982192.9,1214820.2929507676,4181949.0,286224.0,1.07743995E7,392753.01354194316,1.1832034E7,1.044688E7,No Label
