Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.5-102.132.96.13-33708-443-6,192.168.1.5,33708,102.132.96.13,443,6,30/12/2021 11:58:14 PM,119420647,296,291,9763.0,7666.0,418.0,0.0,32.9831081081081,59.62853700671477,356.0,0.0,26.34364261168385,38.70372145248869,145.94628682592884,4.915397921098183,203789.5,808031.6298279807,6878649.0,1.0,1.19420542E8,404815.39661016944,1105078.09769439,6878649.0,4.0,1.19420632E8,411795.28275862074,1126854.231987443,6935607.0,2.0,0,1,0,0,9568,9312,2.478633363960924,2.4367645571372596,0.0,418.0,29.70578231292517,50.379177243457036,2538.0614997276593,0,0,0,1,1,0,0,0,0.0,29.756388415672912,32.983108108108105,26.343642611683848,0,0,0,0,0,0,296,9763,291,7666,-1,2043,127,0,1.3825982166666668E7,1.6620195535087323E7,4.6263545E7,4349936.0,6030979.5,421717.5400657412,6878649.0,5784039.0,No Label
172.217.18.142-192.168.1.5-443-39970-6,192.168.1.5,39970,172.217.18.142,443,6,30/12/2021 11:58:26 PM,117010406,271,360,99197.0,182809.0,1188.0,0.0,366.04059040590397,507.58672513325433,2376.0,0.0,507.80277777777746,583.1027444432249,2410.0933381942114,5.392682767035267,185730.80317460326,1331599.048808357,2.1721431E7,1.0,1.16836548E8,432727.9555555557,2026030.798167994,2.182311E7,1.0,1.17010406E8,325934.2785515319,1769415.5002283258,2.1840909E7,1.0,0,0,0,0,9188,11716,2.316033327839235,3.0766494391960317,0.0,2376.0,446.2120253164567,555.8131029133966,308928.20537021797,0,1,0,0,0,0,0,0,1.0,446.91917591125195,366.0405904059041,507.8027777777778,0,0,0,0,0,0,271,99197,360,182809,-1,1302,137,0,5587934.571428572,7459145.862894868,2.1223378E7,274653.0,1.0990184714285715E7,5657524.518359059,2.1721431E7,6296190.0,No Label
192.168.1.255-192.168.1.4-137-137-17,192.168.1.4,137,192.168.1.255,137,17,30/12/2021 11:58:01 PM,99614036,13,1,650.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,7.027122161780494,0.14054244323560988,7662618.153846153,1.6218346420412024E7,5.3283701E7,713304.0,9.8897816E7,8241484.666666667,1.679865698842446E7,5.3283701E7,713304.0,0,0,0,0,0,0,0,0,0,104,8,0.1305036972902092,0.010038745945400707,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,53.57142857142857,50.0,50.0,0,0,0,0,0,0,13,650,1,50,-1,-1,13,0,4046188.0,3679792.1745761675,6648194.0,1444182.0,4.2846059E7,1.4761054875595037E7,5.3283701E7,3.2408417E7,No Label
192.168.1.5-213.55.110.12-54100-443-6,192.168.1.5,54100,213.55.110.12,443,6,30/12/2021 11:58:52 PM,115746567,23,22,1948.0,7096.0,1188.0,0.0,84.69565217391302,264.7763094975573,2376.0,0.0,322.54545454545456,716.1287944332712,78.13622670986,0.3887804292286267,2630603.7954545454,4436666.880761878,1.0225686E7,4.0,1.15724831E8,5260219.590909092,5122143.682996358,1.024401E7,10.0,1.12877954E8,5375140.666666667,5242197.342221201,1.0537295E7,12.0,0,0,0,0,736,720,0.19870999716129809,0.19007043206732863,0.0,2376.0,196.6086956521739,537.228131896016,288614.0657004831,0,1,0,0,0,0,0,0,0.0,200.9777777777778,84.69565217391305,322.54545454545456,0,0,0,0,0,0,23,1948,22,7096,-1,281,5,0,40127.72727272727,36585.37062021078,122024.0,15725.0,1.0191356090909092E7,57505.73669201111,1.0225686E7,1.0044007E7,No Label
192.168.1.5-213.55.110.12-54096-443-6,192.168.1.5,54096,213.55.110.12,443,6,30/12/2021 11:58:51 PM,116093897,25,21,1457.0,5703.0,517.0,0.0,58.27999999999999,144.57049030374998,2376.0,0.0,271.57142857142856,612.7951184065168,61.67421531211068,0.39623099222864405,2579864.3777777776,4389043.909483788,1.0227254E7,5.0,1.16054271E8,4835594.625000002,5084533.919896816,1.0299937E7,9.0,1.14014608E8,5700730.4,5251606.308744276,1.1280474E7,542.0,0,0,0,0,800,700,0.21534293055904566,0.18088806166959837,0.0,2376.0,152.34042553191486,431.2494625879824,185976.09898242363,0,1,0,0,0,0,0,0,0.0,155.65217391304347,58.28,271.57142857142856,0,0,0,0,0,0,25,1457,21,5703,-1,265,6,0,168807.54545454547,319180.03181914863,1057942.0,16591.0,1.0187334363636361E7,68267.79707193257,1.0227254E7,1.0003193E7,No Label
192.168.1.5-196.201.223.17-39772-443-6,192.168.1.5,39772,196.201.223.17,443,6,30/12/2021 11:58:52 PM,116058847,25,23,1994.0,7104.0,1188.0,0.0,79.75999999999999,255.33185595743174,2376.0,0.0,308.86956521739125,626.5506802651414,78.39126645812706,0.4135832919312045,2469337.1702127666,4266619.668464386,1.0245947E7,6.0,1.15885343E8,4828555.958333334,5120034.39770989,1.0500049E7,10.0,1.14849343E8,5220424.681818183,5279526.829153387,1.1259741E7,12.0,0,0,0,0,812,752,0.21540796454750236,0.19817532738370217,0.0,2376.0,185.6734693877552,475.7692187287823,226356.34948979586,0,1,0,0,0,0,0,0,0.0,189.54166666666666,79.76,308.8695652173913,0,0,0,0,0,0,25,1994,23,7104,-1,281,5,0,330841.00000000006,330492.7970867141,1190728.0,160313.0,1.0094439181818182E7,73762.63090592461,1.0245947E7,1.0004408E7,No Label
192.168.1.5-196.201.223.17-39772-443-6,196.201.223.17,443,192.168.1.5,39772,6,31/12/2021 12:00:49 AM,11,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181818.18181818182,11.0,0.0,11.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,90909.09090909091,90909.09090909091,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,281,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.5-74.125.167.76-34886-443-6,192.168.1.5,34886,74.125.167.76,443,6,30/12/2021 11:58:53 PM,116000652,27,24,2086.0,7475.0,1188.0,0.0,77.25925925925925,248.6881879278041,1188.0,0.0,311.4583333333334,516.5606138234149,82.42195052489878,0.43965270126240324,2320013.0400000005,4210744.151967208,1.0178459E7,2.0,1.15898011E8,4457615.807692308,5045493.830747686,1.024003E7,7.0,1.13689135E8,4943005.869565218,5254602.527301369,1.1167784E7,8.0,0,0,0,0,864,784,0.23275731243303702,0.20689538882936623,0.0,1188.0,183.86538461538458,407.68524137278075,166207.25603318252,0,1,0,0,0,0,0,0,0.0,187.47058823529412,77.25925925925925,311.4583333333333,0,0,0,0,0,0,27,2086,24,7475,-1,281,5,0,186973.7272727273,311107.13654433936,1098753.0,61545.0,1.0141705727272727E7,63608.72099655963,1.0178459E7,9973033.0,No Label
192.168.1.5-196.201.223.17-39774-443-6,192.168.1.5,39774,196.201.223.17,443,6,30/12/2021 11:58:53 PM,113593566,25,26,3547.0,9466.0,1188.0,0.0,141.88000000000005,339.41780055461635,2254.0,0.0,364.07692307692315,627.9945173695021,114.55754457079021,0.44896909037964355,2271871.3200000003,4148689.523829228,1.0249314E7,4.0,1.13192595E8,4716358.125,5172848.832063434,1.0496018E7,7.0,1.13593566E8,4543742.640000001,5171927.332436735,1.0735847E7,22.0,0,0,0,0,824,848,0.22008288744100174,0.2288862029386418,0.0,2254.0,250.25000000000006,511.0050026615179,261126.1127450979,0,1,0,0,0,0,0,0,1.0,255.15686274509804,141.88,364.0769230769231,0,0,0,0,0,0,25,3547,26,9466,-1,302,6,0,312157.7272727273,169928.72089914104,716749.0,161454.0,9996919.545454545,339262.5531456025,1.0249314E7,8995049.0,No Label
192.168.1.5-74.125.167.76-34888-443-6,192.168.1.5,34888,74.125.167.76,443,6,30/12/2021 11:58:53 PM,114716884,1535,2356,16189.0,2945045.0,1188.0,0.0,10.546579804560265,102.82838584660102,2376.0,0.0,1250.01910016978,317.02089795656315,25813.410343328364,33.91828529791657,29490.201542416457,477901.46639547,1.0218514E7,0.0,1.14568792E8,74686.30508474572,761863.5944906923,1.0244002E7,2.0,1.14716884E8,48712.05265392789,627302.5824369951,1.126782E7,1.0,0,0,0,0,55512,75432,13.380767908584408,20.53751738933216,0.0,2376.0,760.8514902363833,657.3579267691529,432119.4438862389,0,1,0,0,0,0,0,0,1.0,761.047031611411,10.546579804560261,1250.0191001697792,0,0,0,0,0,0,1535,16189,2356,2945045,-1,463,24,0,3345733.0,4864402.767302503,1.4564684E7,73828.0,9392405.111111112,1662198.597600212,1.0218514E7,5288229.0,No Label
