Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.156-213.55.110.13-33450-443-6,192.168.137.156,33450,213.55.110.13,443,6,23/08/2021 11:58:04 PM,105158072,17,11,24.0,0.0,24.0,0.0,1.411764705882353,5.820855000871991,0.0,0.0,0.0,0.0,0.22822784350781936,0.26626581742578925,3894743.4074074076,4725171.150090661,1.021767E7,65.0,1.04134078E8,6508379.875,4596337.626412386,1.0244063E7,65.0,9.8140301E7,9814030.1,3198668.7111517177,1.2291978E7,1052047.0,0,0,0,0,544,352,0.16166138915137204,0.1046044282744172,0.0,24.0,0.8275862068965517,4.456688116249245,19.862068965517242,0,0,0,0,1,0,0,0,0.0,0.8571428571428571,1.411764705882353,0.0,0,0,0,0,0,0,17,24,11,0,-1,306,1,0,643233.0,864210.8890002872,2079042.0,26393.0,9872567.7,1004895.9597672062,1.021767E7,7017706.0,No Label
192.168.137.156-216.58.210.74-53336-443-6,192.168.137.156,53336,216.58.210.74,443,6,24/08/2021 12:00:09 AM,2093371,13,10,788.0,3667.0,513.0,0.0,60.61538461538462,145.78668118266637,1188.0,0.0,366.7,502.62954106932034,2128.146420295304,10.987063449336024,95153.22727272726,253102.12490386295,1026251.0,14.0,1067120.0,88926.66666666667,210279.1090718729,747695.0,59.0,2092373.0,232485.88888888888,383281.81697069993,1082969.0,28.0,0,0,0,0,436,344,6.210079340929057,4.776984108406967,0.0,1188.0,185.62499999999997,366.78791555884175,134533.37500000003,0,1,0,0,0,0,0,0,0.0,193.69565217391303,60.61538461538461,366.7,0,0,0,0,0,0,13,788,10,3667,-1,265,4,0,0,0,0,0,0,0,0,0,No Label
192.168.137.156-197.156.74.146-51266-443-6,192.168.137.156,51266,197.156.74.146,443,6,24/08/2021 12:00:10 AM,2839842,71,69,2965.0,72305.0,1188.0,0.0,41.76056338028172,195.91451960986396,1188.0,0.0,1047.8985507246373,371.1079653007107,26504.995700465028,49.29851731187862,20430.517985611514,84947.99758005,730393.0,5.0,2811421.0,40163.157142857155,119695.17544920319,730414.0,9.0,2839424.0,41756.23529411764,120134.6667444271,730445.0,633.0,0,0,0,0,3572,2224,25.001390922452728,24.29712638942589,0.0,1188.0,533.8297872340427,584.0900610283463,341161.19939209736,0,1,0,0,0,0,0,0,0.0,537.6428571428571,41.76056338028169,1047.8985507246377,0,0,0,0,0,0,71,2965,69,72305,-1,281,6,0,0,0,0,0,0,0,0,0,No Label
192.168.137.156-216.58.210.74-53336-443-6,192.168.137.156,53336,216.58.210.74,443,6,24/08/2021 12:00:12 AM,855293,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.50756992048339,427646.5,494191.97962380975,777093.0,78200.0,0,0,0,0,0,855293.0,427646.5,494191.97962380975,777093.0,78200.0,0,0,0,0,0,108,0.0,3.50756992048339,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,265,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.156-192.168.137.1-43392-53-17,192.168.137.156,43392,192.168.137.1,53,17,23/08/2021 10:41:11 PM,51940,0,2,0.0,237.0,0,0,0,0,207.0,30.0,118.5,125.15790027001891,4562.957258375048,38.50596842510589,51940.0,0.0,51940.0,51940.0,0,0,0,0,0,51940.0,51940.0,0.0,51940.0,51940.0,0,0,0,0,0,16,0.0,38.50596842510589,30.0,207.0,89.0,102.19099764656376,10443.0,0,0,0,0,0,0,0,0,0.0,133.5,0.0,118.5,0,0,0,0,0,0,0,0,2,237,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.156-216.58.210.74-53340-443-6,192.168.137.156,53340,216.58.210.74,443,6,24/08/2021 12:00:09 AM,31670525,31,29,1352.0,18236.0,513.0,0.0,43.61290322580645,106.27124961448254,1838.0,0.0,628.8275862068966,609.8320652304626,618.493062555799,1.8945060115043877,536788.5593220338,2381119.917602554,1.6855546E7,6.0,3.0361401E7,1012046.7000000001,3304735.2144450517,1.6934317E7,197.0,3.1670525E7,1131090.1785714286,3445333.1788067566,1.7031257E7,531.0,0,0,0,0,1220,944,0.9788281059439337,0.915677905560454,0.0,1838.0,321.11475409836055,516.2063572629539,266469.00327868847,0,1,0,0,0,0,0,0,0.0,326.46666666666664,43.61290322580645,628.8275862068965,0,0,0,0,0,0,31,1352,29,18236,-1,273,10,0,1210335.0,1837916.3275250045,3330972.0,78529.0,9255495.333333334,6582329.309597731,1.6855546E7,5374962.0,No Label
192.168.137.156-216.58.210.74-53340-443-6,192.168.137.156,53340,216.58.210.74,443,6,24/08/2021 12:00:41 AM,91557,3,2,63.0,53.0,39.0,0.0,21.0,19.672315572906,53.0,0.0,26.5,37.476659402887016,1266.9703026529921,54.61078890745656,22889.25,45470.57527951455,91095.0,46.0,416.0,208.0,55.154328932550705,247.0,169.0,91095.0,91095.0,0.0,91095.0,91095.0,0,0,0,0,96,76,32.76647334447394,21.844315562982622,0.0,53.0,19.333333333333332,23.079572497485014,532.6666666666666,0,0,0,0,1,0,0,0,0.0,23.2,21.0,26.5,0,0,0,0,0,0,3,63,2,53,-1,273,2,0,0,0,0,0,0,0,0,0,No Label
142.250.180.33-192.168.137.156-443-35002-6,192.168.137.156,35002,142.250.180.33,443,6,24/08/2021 12:00:09 AM,32117577,19,16,1404.0,3498.0,643.0,0.0,73.89473684210526,167.1133662906186,1188.0,0.0,218.62500000000006,391.8012889207997,152.62670655385992,1.0897459668268252,944634.6176470587,3352796.5368457125,1.8450718E7,12.0,3.1845064E7,1769170.2222222222,4524669.935685769,1.8530408E7,121.0,3.2117577E7,2141171.8,4961028.341648984,1.8630824E7,2784.0,0,0,0,0,692,552,0.5915763819917051,0.4981695848351201,0.0,1188.0,136.16666666666666,293.0780978315702,85894.77142857143,0,1,0,0,0,0,0,0,0.0,140.05714285714285,73.89473684210526,218.625,0,0,0,0,0,0,19,1404,16,3498,-1,267,10,0,733365.0,1043883.8281743807,1937247.0,79515.0,9799613.0,7492324.1268633725,1.8450718E7,5413171.0,No Label
142.250.180.33-192.168.137.156-443-35002-6,192.168.137.156,35002,142.250.180.33,443,6,24/08/2021 12:00:41 AM,319,1,1,24.0,39.0,24.0,24.0,24.0,0.0,39.0,39.0,39.0,0.0,197492.16300940438,6269.592476489028,319.0,0.0,319.0,319.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,3134.796238244514,3134.796238244514,24.0,39.0,34.0,8.660254037844387,75.0,0,0,0,1,1,0,0,0,1.0,51.0,24.0,39.0,0,0,0,0,0,0,1,24,1,39,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
192.168.137.156-192.168.137.1-39622-53-17,192.168.137.156,39622,192.168.137.1,53,17,23/08/2021 10:29:56 PM,83340,0,2,0.0,144.0,0,0,0,0,102.0,42.0,72.0,42.42640687119285,1727.8617710583153,23.998080153587715,83340.0,0.0,83340.0,83340.0,0,0,0,0,0,83340.0,83340.0,0.0,83340.0,83340.0,0,0,0,0,0,16,0.0,23.998080153587715,42.0,102.0,62.0,34.64101615137755,1200.0,0,0,0,0,0,0,0,0,0.0,93.0,0.0,72.0,0,0,0,0,0,0,0,0,2,144,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
